Objekt blokace;Adresa internetové stránky;Název aplikace;Identifikátor aplikace;Jedineèný identifikátor platebního úètu;Dùvody zápisu na Seznam;Datum zápisu a zveøejnìní na Seznamu ;Datum výmazu a zveøejnìní na Seznamu
Internetová stránka;wildtornado1.com;;;;§ 84a odst. 2 písm. a) ZHH;25.01.2021;
Internetová stránka;casinonic.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot1.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot2.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot3.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot4.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot5.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot6.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot7.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot8.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot9.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot10.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot11.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot12.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot13.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot14.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot15.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot16.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot17.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot18.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot19.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;webbyslot20.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino21.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino22.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino23.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino24.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino25.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino26.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino27.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino28.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino29.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino30.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino31.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino32.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino33.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino34.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino35.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;goldenstar-casino100.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;fastpay-casino.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;fastpay-casino4.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;fastpay-casino5.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;fastpay-casino6.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;fastpay-casino9.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;ilucki.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;bitstarz.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;bitstarz28.com;;;;§ 84a odst. 2 písm. a) ZHH;04.02.2021;
Internetová stránka;zenbetting.com;;;;§ 84a odst. 2 písm. a) ZHH;10.03.2021;
Internetová stránka;cobracasino.com;;;;§ 84a odst. 2 písm. a) ZHH;22.03.2021;
Internetová stránka;boomerang-casino.com;;;;§ 84a odst. 2 písm. a) ZHH;26.03.2021;
Internetová stránka;boomerang-casino1.com;;;;§ 84a odst. 2 písm. a) ZHH;26.03.2021;
Internetová stránka;powercasino.bet;;;;§ 84a odst. 2 písm. a) ZHH;26.03.2021;22.10.2021
Internetová stránka;favbet.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet2.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet4.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet5.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet9.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet10.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet11.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet15.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet20.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet22.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet30.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet33.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet35.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet44.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet55.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet66.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet77.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet88.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet111.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbe777.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;10.06.2021
Internetová stránka;favbet999.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet911.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet444.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet555.com;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet.org;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;favbet.info;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;gotofav.bet;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;go1fav.bet;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;go2fav.bet;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;go3fav.bet;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;go4fav.bet;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;go5fav.bet;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;go6fav.bet;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;betonfav.bet;;;;§ 84a odst. 2 písm. a) ZHH;28.04.2021;
Internetová stránka;playdingo.com;;;;§ 84a odst. 2 písm. a) ZHH;21.05.2021;
Internetová stránka;wazamba.com;;;;§ 84a odst. 2 písm. a) ZHH;21.05.2021;
Internetová stránka;wazamba100.com;;;;§ 84a odst. 2 písm. a) ZHH;21.05.2021;
Internetová stránka;wazamba777.com;;;;§ 84a odst. 2 písm. a) ZHH;21.05.2021;
Internetová stránka;wazamba755.com;;;;§ 84a odst. 2 písm. a) ZHH;21.05.2021;
Internetová stránka;wazamba855.com;;;;§ 84a odst. 2 písm. a) ZHH;21.05.2021;
Internetová stránka;cleopatracasino.com;;;;§ 84a odst. 2 písm. a) ZHH;21.05.2021;
Internetová stránka;winown.com;;;;§ 84a odst. 2 písm. a) ZHH;10.06.2021;
Internetová stránka;favbet777.com;;;;§ 84a odst. 2 písm. a) ZHH;10.06.2021;
Internetová stránka;slotum.com;;;;§ 84a odst. 2 písm. a) ZHH;10.06.2021;
Internetová stránka;winnerzon.com;;;;§ 84a odst. 2 písm. a) ZHH;10.06.2021;
Internetová stránka;zencasino.com;;;;§ 84a odst. 2 písm. a) ZHH;10.06.2021;
Internetová stránka;zencasino2.com;;;;§ 84a odst. 2 písm. a) ZHH;10.06.2021;
Internetová stránka;zencasino3.com;;;;§ 84a odst. 2 písm. a) ZHH;10.06.2021;
Internetová stránka;zencasino8.com;;;;§ 84a odst. 2 písm. a) ZHH;10.06.2021;
Internetová stránka;zencasino88.com;;;;§ 84a odst. 2 písm. a) ZHH;10.06.2021;
Internetová stránka;zencasino888.com;;;;§ 84a odst. 2 písm. a) ZHH;10.06.2021;
Internetová stránka;spassino.com;;;;§ 84a odst. 2 písm. a) ZHH;23.06.2021;
Internetová stránka;slottyvegas.com;;;;§ 84a odst. 2 písm. a) ZHH;23.06.2021;
Internetová stránka;nomini.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;nomini2.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;nomini3.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;nomini4.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;nomini5.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;nomini6.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;nomini7.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;nomini8.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;nomini9.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet1.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet3.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet4.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet6.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet7.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet10.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet11.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet12.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet13.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet14.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet15.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet16.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet17.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet18.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;22bet19.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;
Internetová stránka;slottyway.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;13.09.2023
Internetová stránka;slottyway1.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;13.09.2023
Internetová stránka;slottyway2.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;13.09.2023
Internetová stránka;slottyway4.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;13.09.2023
Internetová stránka;slottyway5.com;;;;§ 84a odst. 2 písm. a) ZHH;29.06.2021;13.09.2023
Internetová stránka;kingdomcasino.com;;;;§ 84a odst. 2 písm. a) ZHH;16.07.2021;
Internetová stránka;burancasino.com;;;;§ 84a odst. 2 písm. a) ZHH;16.07.2021;
Internetová stránka;burancasino1.com;;;;§ 84a odst. 2 písm. a) ZHH;16.07.2021;
Internetová stránka;burancasino2.com;;;;§ 84a odst. 2 písm. a) ZHH;16.07.2021;
Internetová stránka;burancasino3.com;;;;§ 84a odst. 2 písm. a) ZHH;16.07.2021;
Internetová stránka;burancasino4.com;;;;§ 84a odst. 2 písm. a) ZHH;16.07.2021;
Internetová stránka;burancasino27.com;;;;§ 84a odst. 2 písm. a) ZHH;16.07.2021;
Internetová stránka;burancasino77.com;;;;§ 84a odst. 2 písm. a) ZHH;16.07.2021;
Internetová stránka;burancasino88.com;;;;§ 84a odst. 2 písm. a) ZHH;16.07.2021;
Internetová stránka;burancasino100.com;;;;§ 84a odst. 2 písm. a) ZHH;16.07.2021;
