"URL","DATUM_ZAPISU","DATUM_VYMAZU"
"ed-hrvatski.com","14.03.2025",
"pl.vivami.co","14.03.2025",
"besthealthonlinemeds.com","21.03.2025",
"podpora-erekce24.cz","21.03.2025",
"lekarenprevas.sk","21.03.2025",
"kamagraeurope.to","21.03.2025",
"kamagra.net","21.03.2025",
"lekarnaaqua.com","21.03.2025",
"med-care24.com","01.04.2025",
"fastdeliveryonlinetab.com","01.04.2025",
"nspsl.sk","01.04.2025",
"cheap-pharma.com","01.04.2025",
"kamagra-tablety.online","01.04.2025",
"lekarnauzamkubucovice.com","01.04.2025",
"ivermectinkoupit.com","01.04.2025",
"europharms.com","01.04.2025",
"reallpharmacy.com","01.04.2025",
"true-weightlose.com","01.04.2025",
"getyouronlinemedshere.com","01.04.2025",
"victorypills.com","11.04.2025",
"canadianipharmacy.com","11.04.2025",
"eurorxdrugs.cc","11.04.2025",
"kamagralove.pro","11.04.2025",
"viagra-cialis-kamagra.sk","11.04.2025",
"onlinepainreliefmedstore.cz","11.04.2025",
"pharmacychecker.com","30.04.2025",
"canadianprescriptiondrugstore.com","30.04.2025",
"overthebordermeds.com","30.04.2025",
"ycdscc.com","30.04.2025",
"canadapharmacy.com","30.04.2025",
"pillbuytoppremium.com","30.04.2025",
"canadadrugsdirect.com","30.04.2025",
"eu-pillstore.com","30.04.2025",
"canadianinsulin.com","30.04.2025",
"european-pharmacy.online","30.04.2025",
"greencrosspharmacy.online","30.04.2025",
"liferxpharmacy.com","30.04.2025",
"1800rxonline.com","30.04.2025",
"spfpharmacy.com","30.04.2025",
"discountcanadadrugs.com","30.04.2025",
"canadianpharmacystore.com","30.04.2025",
"canada-pharmacy-24h.com","16.05.2025",
"wellcareonline.com","16.05.2025",
"sunlife.qa","16.05.2025",
"pharmagiant.com","16.05.2025",
"northwestpharmacy.com","16.05.2025",
"viagra-cialis-kamagra.online","16.05.2025",
"qualityprescriptiondrugs.com","16.05.2025",
"canadapharmacypro.com","16.05.2025",
"buylowdrugs.com","16.05.2025",
"offshorecheapmeds.com","16.05.2025",
"affordablerxmeds.com","16.05.2025",
"kamagraobchod.com","16.05.2025",
"monsterking.eu","16.05.2025",
"lekarenslovenska.sk","16.05.2025",
"mens-health-ph.com","16.05.2025",
"yes-pills.com","16.05.2025",
"eurolékárna.com","16.05.2025",
"lekarnapodcvilinem.com","16.05.2025",
